Achiever,Killer,Explorer
-193.546314916212,-111.119143166558,-141.029292909101
-196.074263591897,-112.154809528667,-142.363302677804
-200.372217008171,-114.69918328035,-145.43825234354
-206.410825216943,-118.529726586209,-150.366178210186
-214.001016166947,-123.055412023517,-156.129761780702
-222.905112887008,-128.027257382023,-162.577335121256
-231.588835130398,-133.235524806197,-169.154576045346
-240.551755135793,-138.696701711765,-175.991849932071
-243.32773819012,-140.28068833697,-178.355699561165
-247.701335546787,-142.96256788619,-181.878133546425
-254.508176431414,-147.006032055699,-186.754283001473
-262.309696478748,-151.953358243851,-193.321462788959
-271.433683874085,-157.190513655955,-200.15412227013
-280.840123182377,-162.77746759508,-207.194810192309
-290.302824792326,-168.642783182306,-214.466797563616
-298.67606288826,-173.785059696376,-221.16247306332
-307.540439722214,-178.697979452692,-227.379831316344
-315.757486266594,-183.831138221875,-234.274408654152
-324.88169325625,-189.331326802451,-241.08879560836
-334.199787532847,-194.835328494613,-247.924915049641
-340.798947825097,-198.421445748644,-252.607713540051
-345.451920302143,-201.070275450757,-255.824650914988
-349.004541647534,-203.364717177798,-258.465463684187
-353.329597108863,-205.795600162308,-261.561451397706
-358.058120632498,-208.609798655798,-265.091734590782
-363.41192263156,-211.760102379622,-269.568763843763
-369.793366289872,-214.971161272847,-273.937294042859
-375.951734558436,-218.573325771668,-278.580027512706
-382.33446806569,-222.472859849385,-284.024150589534
-389.338849302663,-226.496661722386,-289.157330338813
-396.492534405769,-230.796298577874,-294.668101883215
-404.041730231853,-235.329051814939,-300.137458520255
-411.635230648023,-239.654550337309,-305.504151113852
-419.36285491679,-244.344866049735,-311.140896025094
-427.720085580646,-249.106345539316,-316.796821469735
-435.717925462776,-253.97479869303,-322.910873469261
-443.723766923657,-258.72660270008,-328.877534421852
-451.797578697973,-263.395039943489,-335.006757353992
-459.374821616452,-268.115187851561,-340.874202306309
-467.437088477874,-273.107807194517,-347.173665967386
-475.854844191356,-278.12707186028,-353.351540142928
-484.868946052971,-283.206048677711,-359.907521591098
-493.664504865802,-288.383596248105,-366.456583067364
-502.335461518336,-293.484586767382,-372.62155730317
-511.335862454615,-298.78015672885,-379.191907926217
-520.430656222454,-304.045575462149,-385.88250488467
-529.395350739728,-309.477892467221,-392.96148443968
-538.470274011293,-314.932290154554,-399.743671871323
-547.822610185189,-320.272544642614,-406.263161024813
-557.263680956618,-325.747363383508,-413.264431663908
-566.597660392987,-331.168783536872,-419.924292001741
-574.806209909321,-335.671007590045,-425.586199132267
-581.169135415833,-339.114612282156,-429.855861413366
-585.85636212676,-342.086558837908,-433.331335008181
-591.168701413211,-345.226988096328,-436.391318845754
-595.6814551452,-348.087444213231,-439.972129586591
-600.72201242256,-351.098053234221,-443.98923846853
-605.926109538492,-354.088259058742,-448.022282914267
-611.216244387163,-357.534227528575,-452.248465920759
-617.316465881403,-361.038210787942,-456.739239316483
-623.759540104505,-364.675512115393,-461.307341227803
-630.987064468548,-368.45187361676,-466.418320011937
-638.225992032747,-372.584216167193,-472.090693948976
-645.910762659729,-376.816256816112,-477.763355415745
-653.140219716035,-381.264589883222,-483.991960279173
-660.644534432772,-385.920077705509,-489.551501513059
-668.349169534651,-390.603851999574,-495.314825070983
-676.281932835298,-395.480617121664,-501.22633657102
-684.410846590598,-399.984357510621,-507.417890130718
-692.414791710616,-404.801283870459,-513.767336060982
-701.194768090021,-409.864257339522,-520.139654708688
-709.970178868451,-414.861157012791,-526.641593633951
-718.713896640201,-419.803217038037,-533.171035980786
-727.148861556779,-424.839771013993,-540.117984184941
-736.051486799777,-429.854147187561,-546.898281458566
-745.295240697153,-435.145119739666,-553.36559447373
-754.250259010286,-440.478012680328,-559.687943006952
