Hardcore,Midcore,Casual
-141.341966020819,-196.074263591897,-260.136672814886
-144.475134958384,-200.372217008171,-264.971345095548
-149.77754918324,-206.410825216943,-272.150318662498
-156.799921785074,-214.001016166947,-280.833322974204
-164.621101484772,-222.905112887008,-290.253421304637
-172.756180691582,-231.588835130398,-300.091703089851
-181.242946325073,-240.551755135793,-310.381883593779
-183.618609143967,-243.32773819012,-314.448162455482
-187.017548779654,-247.701335546787,-319.74814715286
-193.167831266498,-254.508176431414,-327.488197397441
-200.614499515154,-262.309696478748,-336.66287509514
-208.797951256421,-271.433683874085,-346.40331932125
-217.176559810641,-280.840123182377,-356.628876532006
-225.852680537106,-290.302824792326,-367.227750343049
-233.600514913261,-298.67606288826,-376.467198259005
-242.119811522682,-307.540439722214,-385.70021826083
-249.964847309676,-315.757486266594,-395.229752910927
-258.259031312572,-324.88169325625,-405.081198157116
-266.42256232258,-334.199787532847,-415.112356548433
-267.832374473466,-340.798947825097,-424.577236270618
-268.384545561843,-345.451920302143,-433.363239286822
-269.128113320293,-349.004541647534,-440.883767846067
-271.42330014269,-353.329597108863,-448.827096321614
-274.719705582016,-358.058120632498,-456.84837551549
-278.504806819152,-363.41192263156,-464.888615708391
-283.525941890814,-369.793366289872,-472.920063189381
-288.957288023506,-375.951734558436,-481.187426267104
-294.518853183176,-382.33446806569,-489.458524385298
-300.460871750748,-389.338849302663,-497.73576897741
-306.220194795503,-396.492534405769,-506.044283159994
-312.176405699305,-404.041730231853,-514.720148605219
-318.951650122878,-411.635230648023,-523.358794529325
-325.56178362784,-419.36285491679,-532.035982048689
-332.51105726317,-427.720085580646,-540.824823047811
-339.741136034285,-435.717925462776,-550.009474874309
-347.131388242949,-443.723766923657,-558.903797958637
-354.350533250892,-451.797578697973,-567.697804363703
-361.706426363852,-459.374821616452,-576.499695576307
-369.239261095231,-467.437088477874,-585.655649024827
-377.12292490078,-475.854844191356,-594.8890350878
-385.303264825263,-484.868946052971,-604.19894079496
-393.106231272063,-493.664504865802,-613.727692666527
-401.131372364963,-502.335461518336,-623.206950249861
-409.194830883449,-511.335862454615,-632.94948263115
-417.710032671436,-520.430656222454,-642.82129932905
-425.636816417408,-529.395350739728,-652.225478137463
-433.785670137822,-538.470274011293,-661.739657631134
-442.238378637956,-547.822610185189,-672.015909140836
-450.718472557232,-557.263680956618,-681.979237933768
-459.053257024806,-566.597660392987,-692.039746128997
-462.696396458684,-574.806209909321,-701.960029139486
-463.576223788859,-581.169135415833,-711.59806455291
-464.057890237625,-585.85636212676,-720.659995306175
-465.445317189422,-591.168701413211,-729.504569065356
-468.903129863856,-595.6814551452,-738.549753735363
-473.347550552533,-600.72201242256,-747.22627461241
-477.598268796234,-605.926109538492,-755.792192384964
-482.72523626244,-611.216244387163,-764.398369897151
-487.720131631278,-617.316465881403,-773.076444030655
-493.160853886083,-623.759540104505,-781.353391915227
-499.629485838119,-630.987064468548,-789.851491118422
-506.192124615238,-638.225992032747,-798.304248470793
-512.534724297168,-645.910762659729,-806.572430717311
-519.545260739434,-653.140219716035,-815.206950948611
-526.149481060033,-660.644534432772,-823.647559767236
-532.525543860868,-668.349169534651,-832.206613341724
-539.967563864449,-676.281932835298,-840.849292996653
-547.38965885185,-684.410846590598,-849.760493487556
-554.829688545938,-692.414791710616,-858.796506143381
-562.274544353174,-701.194768090021,-868.162660840308
-569.711697075176,-709.970178868451,-877.242341492999
-577.412166936239,-718.713896640201,-886.900135658532
-585.195022158099,-727.148861556779,-896.450690912153
-593.147288962116,-736.051486799777,-905.94729564515
-601.258219237375,-745.295240697153,-915.708679315942
-609.446416396945,-754.250259010286,-925.579114360873
-617.341783182171,-763.169216889129,-935.270762540378
