Achiever,Killer,Explorer,Socializer
-200.348977517948,-117.204959100557,-149.081989806356,-101.928052648926
-208.363438689548,-121.861280931596,-155.247394268972,-106.087105159849
-210.033302896708,-122.93009851206,-156.804346016696,-106.950328262603
-214.296576739016,-125.23838531526,-159.553181262473,-108.839368461352
-220.770893889076,-128.984366737452,-164.311588611904,-112.195277228831
-228.86408385469,-133.513878165928,-170.380403657295,-116.224947536318
-237.49891551798,-138.728173764158,-176.790450047124,-120.654203320058
-246.870466913082,-144.361960758001,-183.65569256166,-125.388216117441
-256.679311486528,-150.155703230688,-190.92981372925,-130.171126452036
-260.136672814886,-152.072119521139,-193.222073531212,-131.708611038642
-264.971345095548,-154.867841222255,-197.27799502008,-134.301726197076
-272.150318662498,-159.329806189807,-202.856602597055,-137.923970886086
-280.833322974204,-164.474762901219,-209.190586897743,-142.332713047024
-290.253421304637,-170.213624249449,-216.036036275756,-147.140889435065
-300.091703089851,-176.150152520232,-223.429699004791,-151.972778230704
-310.381883593779,-182.203563804909,-230.950727484401,-156.916479776031
-314.448162455482,-184.220760327681,-233.461929423983,-158.737196304464
-319.74814715286,-187.408498519543,-237.083888377175,-161.615423351666
-327.488197397441,-192.036468872446,-242.764503051823,-165.593190573187
-336.66287509514,-197.312621408894,-249.519388065671,-170.176979206897
-346.40331932125,-203.161598043115,-256.81305987799,-175.136638379086
-356.628876532006,-209.182905531927,-264.51714869757,-180.203002759624
-367.227750343049,-215.475533255234,-272.344870957395,-185.408062085227
-376.467198259005,-220.950982346859,-279.391411776009,-190.229605662943
-385.70021826083,-226.439409428868,-286.587685774843,-195.031478201102
-395.229752910927,-232.150001626149,-294.0433184198,-199.968051185631
-405.081198157116,-237.910877395143,-301.508651919047,-204.871695931277
-415.112356548433,-243.8565906347,-309.003964359767,-209.943950621008
-424.577236270618,-249.583412881235,-315.935616975204,-214.828259585724
-433.363239286822,-254.924987882517,-322.592185807436,-219.406343667709
-440.883767846067,-259.785771358174,-328.672469417499,-223.543639310201
-448.827096321614,-264.556213351069,-334.553436685341,-227.638362747959
-456.84837551549,-269.390561404115,-340.269079222649,-231.758232424831
-464.888615708391,-273.688070605238,-346.063318084449,-235.631224150015
-472.920063189381,-278.403233420117,-352.121297018392,-239.828502802661
-481.187426267104,-283.470588723786,-358.225698893448,-243.794515880532
-489.458524385298,-288.277062715774,-364.449938550478,-248.195525095714
-497.73576897741,-292.958999125146,-370.759549835645,-252.519556123123
-506.044283159994,-297.862620572305,-377.105507564054,-256.687789337398
-514.720148605219,-302.720370795345,-383.508857359503,-260.861571803094
-523.358794529325,-307.790084140365,-389.963742301841,-265.13134425092
-532.035982048689,-312.795604756497,-396.235139623638,-269.460607056833
-540.824823047811,-318.000195754797,-402.898765357257,-273.971450920693
-550.009474874309,-323.460080837617,-409.694617697882,-278.706703346166
-558.903797958637,-329.011382750471,-416.427926388604,-283.367431349126
-567.697804363703,-334.542787061491,-423.211754995504,-287.951253097475
-576.499695576307,-340.082823915377,-430.213727010641,-292.735849342571
-585.655649024827,-345.580683225442,-437.303295140676,-297.592886201359
-594.8890350878,-351.344606710271,-444.295388084696,-302.29698426538
-604.19894079496,-357.404916173694,-451.591489565345,-307.156470222652
-613.727692666527,-363.301236538626,-458.868924787701,-312.009080202291
-623.206950249861,-369.249267320407,-466.305937361777,-316.762851793537
-632.94948263115,-375.124427806869,-473.635059448827,-321.539504068047
-642.82129932905,-380.991328903418,-481.080620266256,-326.426292278721
-652.225478137463,-387.124774593927,-488.560549499751,-331.350297127428
-661.739657631134,-393.17177526912,-496.088153982128,-336.450595279872
-672.015909140836,-399.466783514505,-503.601786272304,-341.565552243299
-681.979237933768,-405.565516204445,-511.336357236089,-346.615978593078
-692.039746128997,-411.640437735845,-518.977247257627,-351.744336475891
-701.960029139486,-417.716735025019,-526.420634027851,-356.684927741645
-711.59806455291,-423.455291083363,-533.645591967181,-361.403926488376
-720.659995306175,-429.019251914794,-540.624665497467,-366.350682413243
