Hardcore,Casual
-187.974250622381,-292.735849342571
-192.025413344369,-297.592886201359
-195.867201979316,-302.29698426538
-200.319315324208,-307.156470222652
-204.540746346905,-312.009080202291
-209.233133127668,-316.762851793537
-213.21059020883,-321.539504068047
-217.50608108833,-326.426292278721
-221.623017698986,-331.350297127428
-225.895800634683,-336.450595279872
-230.284416378306,-341.565552243299
-234.567885421157,-346.615978593078
-238.883160952781,-351.744336475891
-241.2223951424,-356.684927741645
-242.027161455215,-361.403926488376
-242.522197064197,-366.350682413243
-243.94172590376,-371.057197552622
-245.465888987124,-375.446056714184
-247.234191168144,-379.937771851772
-249.360723933716,-384.19677596337
-251.475182481736,-388.514833263787
-253.992357972702,-392.846378912997
-256.800823507885,-397.11646645784
-259.530159757776,-401.149623475457
-262.943635279897,-405.241040105057
-266.72574032079,-409.523413952925
-269.993848953038,-413.813805042336
-273.581107318323,-418.21910905258
-276.917948499626,-422.526560991982
-280.772128109873,-427.017914281764
-284.368857645359,-431.730222634743
-287.861440478932,-436.261933988673
-291.34707016898,-441.147203744871
-294.995346038403,-445.765957597393
-299.013752594264,-450.495005398123
-302.779934218931,-455.246222549606
-306.970698845608,-460.190346794267
-310.71455939607,-465.173652532303
-314.636040260651,-470.024019570839
-319.148778177173,-474.894567007032
-323.383272767058,-479.972319969877
-327.432501486033,-484.987101039121
-331.355733446404,-489.976303376809
-334.74261081833,-495.148314908366
-337.565843215494,-500.126540392261
-339.455604371248,-505.151993761477
-340.028143178436,-510.070060143704
-340.409462578695,-514.960518308554
-341.221109727848,-519.809444444046
-343.181620635418,-524.65997540299
-344.842016036463,-529.362540506326
-347.436827878152,-534.063249591436
-349.752518259021,-538.71399148134
-352.33089482203,-542.975463685474
-355.099174172053,-547.216466052945
-357.81779931959,-551.39574055898
-360.520861522321,-555.781986028059
-364.283525479596,-560.178910965245
-367.442637728313,-564.663337205109
-371.065897310437,-569.305970276006
-375.422305426493,-573.695274387705
-379.584629832515,-578.115536802546
-383.257704097976,-582.675826523989
-387.044718874582,-587.199492436748
-390.826756389253,-591.866248300549
-394.69257937464,-596.622622031798
-398.725202160222,-601.396583205069
-402.839274211136,-606.049511795425
-406.895857251814,-610.724360381281
-410.961177787581,-615.624201592024
-414.86766411348,-620.170495989009
-418.947295987263,-625.133964542839
-423.424517202847,-630.036905353848
-427.607658740567,-634.914860665577
-431.754757633336,-639.836678320491
-435.477800190498,-644.811103654298
-438.595769412,-649.856331007737
-440.15922720123,-654.836543589115
-441.333040387747,-659.842329644261
-441.908606481443,-664.81166924791
-443.277269842054,-669.712509870753
-445.116678545337,-674.777999757654
-447.209493178978,-679.852440979174
-449.594905787459,-684.833215024268
-451.989134263158,-689.481775609536
-454.650407955246,-694.1561766743
-457.563663153374,-698.881344846462
-460.830337426975,-703.632621660066
-464.337159389516,-708.083496991867
-467.719495019249,-712.55924838751
-471.097152036434,-717.234770631287
-474.862259555703,-721.704778013589
-478.709042413497,-726.155386571763
-482.607894970029,-730.6040359784
-485.865134377197,-735.031791680232
-489.752966502444,-739.417138416682
-493.756091183501,-743.997589931396
-497.871753135898,-748.673053115516
-501.963040256859,-753.274860129334
-505.62699443823,-758.083363235602
-509.536681395265,-762.960772442009
-513.654080314702,-767.857472162264
-517.907712340598,-772.710794226414
-522.219457871791,-777.439650744913
-526.615358362597,-782.132918564576
-531.158587552722,-786.955396823134
-534.47051061143,-791.816823305643
-537.47634773336,-796.74704398223
-539.816863628902,-801.569757746799
-541.735754231362,-806.611948978939
-543.095345670573,-811.558035941126
-545.150158292346,-816.5799767479
-547.040903752025,-821.563233384195
-549.041587433874,-826.417388468147
-551.603810018074,-831.406333737024
-553.496176074873,-836.29046423414
-555.942764248135,-841.256304102553
-558.638208086923,-846.132747620963
-561.227601399178,-850.901163228148
-564.807067994756,-855.731934328642
-568.492819529327,-860.424227420805
-572.211154511236,-865.23574347001
-575.748912557486,-869.769462085304
-579.318879385665,-874.385079141479
-582.821524046685,-879.075765406309
-586.866063543841,-883.791669476644
-590.798157281875,-888.459706969678
-594.666412888852,-892.865451554102
-598.676259519428,-897.595294783244
-602.558998075314,-902.28284791324
