Achiever,Killer,Explorer,Socializer
-154.688347307364,-92.1296745136046,-131.535864487869,-92.1580299865653
-161.080611203712,-95.9838983149472,-137.075228570978,-95.9575801766062
-161.568087338788,-96.3239461806943,-138.096498854931,-96.5196729338783
-164.29740711467,-98.1027116502648,-140.424236107329,-98.2591613789618
-169.587637999866,-101.217818011114,-144.783078619599,-101.294076209303
-176.53307212213,-105.25582876869,-150.437405794076,-105.138084242962
-184.371430326191,-109.743584590742,-156.513931558201,-109.309660295779
-192.599351311967,-114.599567815109,-162.990879707518,-113.680271099312
-201.321775875402,-119.71865628277,-169.861786247584,-118.195749016922
-203.873448233121,-120.939364672206,-171.806291799314,-119.639280108878
-207.998878083077,-123.458487305618,-175.446171496184,-122.04257864461
-214.256508305509,-127.447696460911,-180.723217006485,-125.508000205202
-222.102959132293,-132.164708293407,-186.738055640001,-129.743549113108
-230.853622253277,-137.329437224015,-193.341506152702,-134.367627294657
-239.825347780941,-142.672266115809,-200.46032588783,-139.078746296089
-249.171406740984,-148.21067768945,-207.696441896684,-143.942822200887
-252.340933333632,-149.9245969634,-210.093473892612,-145.625200311263
-256.765612291882,-152.667682028553,-213.566720100183,-148.364333931467
-263.733466966938,-156.88543991898,-218.960405752215,-152.161497746875
-271.977776552573,-161.815620935678,-225.502292042905,-156.619679141646
-281.037421924462,-167.203414099873,-232.55253603255,-161.435262657576
-290.433106974745,-172.806164001636,-239.970317398341,-166.278434660072
-300.096142765075,-178.713618177951,-247.570675271795,-171.407590433746
-308.613451570366,-183.897159334583,-254.361023985036,-176.060299271094
-317.512561430163,-188.971367373319,-261.223496839701,-180.714574209526
-326.141774111421,-194.27460808677,-268.413152814621,-185.408347083978
-335.28422557288,-199.726411706055,-275.614195204707,-190.160320602755
-344.505452076289,-205.359644566327,-282.89845367386,-195.06542618425
-350.530304631937,-209.258477706387,-288.721858726465,-199.194773179045
-355.49456386466,-212.271133481217,-293.779923679963,-202.90162885941
-359.725925864198,-215.058614131549,-298.48552565724,-206.298338705937
-364.848983299182,-218.042654660524,-303.365881501535,-209.84666790784
-370.443537284927,-221.467066354658,-308.163639506598,-213.376074202986
-376.369081137442,-224.861275194355,-313.292884476485,-216.855522061196
-382.96803609578,-228.509229441675,-318.730783156396,-220.712487387643
-389.745168313412,-232.54057830191,-324.217421834894,-224.439808377656
-396.624608676047,-236.664349866632,-329.9856391348,-228.61920211472
-403.792413312861,-240.831307894632,-335.760018367663,-232.572452258178
-410.949366659385,-245.26769395661,-341.636203562648,-236.43492577183
-418.423401575203,-249.714558943938,-347.667367075892,-240.34727392607
-426.169292384893,-254.23979243035,-353.784386643879,-244.423319407887
-433.909381373626,-258.944540934682,-359.778379157077,-248.587767607191
-441.969144035713,-263.856932240359,-366.101191240568,-252.912084594071
-450.194393682461,-268.892781607634,-372.584026858906,-257.402550281102
-458.356731730433,-273.919377318469,-379.047803329711,-261.861770000147
-466.437603382706,-278.926850079049,-385.55486952344,-266.1470929312
-474.441786024348,-283.907482658511,-392.148205060559,-270.692736379754
-482.773599154786,-289.021883217533,-398.934229102005,-275.380207530799
-491.345467936688,-294.198709713023,-405.672859597936,-279.902865216035
-500.199883005576,-299.532674140052,-412.587091136796,-284.676635027101
-508.961370015154,-304.914150249456,-419.447967266329,-289.396437286949
-517.745808862965,-310.254471510242,-426.399829962692,-294.137292768397
-526.73454163572,-315.674549437022,-433.387852267848,-298.745784665999
-535.952313958595,-321.106474744568,-440.433245139163,-303.508156735406
-544.747399602611,-326.643799089198,-447.617622121245,-308.262344622961
-553.690289688561,-332.127221651089,-454.809691736865,-313.188523521557
