Hardcore,Midcore,Casual
-81.630570797163,-111.119143166558,-150.155703230688
-81.9517233658721,-112.154809528667,-152.072119521139
-83.8647138345174,-114.69918328035,-154.867841222255
-87.325434532249,-118.529726586209,-159.329806189807
-91.6839952378227,-123.055412023517,-164.474762901219
-96.2073952622553,-128.027257382023,-170.213624249449
-100.723854844575,-133.235524806197,-176.150152520232
-105.44614070501,-138.696701711765,-182.203563804909
-106.891806709387,-140.28068833697,-184.220760327681
-108.916467237842,-142.96256788619,-187.408498519543
-112.767732344667,-147.006032055699,-192.036468872446
-116.976067830577,-151.953358243851,-197.312621408894
-121.837888352927,-157.190513655955,-203.161598043115
-126.659224036336,-162.77746759508,-209.182905531927
-131.916997142658,-168.642783182306,-215.475533255234
-136.631629824391,-173.785059696376,-220.950982346859
-141.29878213021,-178.697979452692,-226.439409428868
-146.230552076153,-183.831138221875,-232.150001626149
-150.954346148162,-189.331326802451,-237.910877395143
-156.299506965249,-194.835328494613,-243.8565906347
-157.398496149835,-198.421445748644,-249.583412881235
-156.757093039624,-201.070275450757,-254.924987882517
-156.716899294288,-203.364717177798,-259.785771358174
-157.587284740405,-205.795600162308,-264.556213351069
-159.780066480399,-208.609798655798,-269.390561404115
-162.015474747869,-211.760102379622,-273.688070605238
-164.668353050311,-214.971161272847,-278.403233420117
-167.746449218492,-218.573325771668,-283.470588723786
-171.094738102317,-222.472859849385,-288.277062715774
-174.611374837339,-226.496661722386,-292.958999125146
-178.474992121073,-230.796298577874,-297.862620572305
-181.899805074371,-235.329051814939,-302.720370795345
-185.859110720479,-239.654550337309,-307.790084140365
-190.010090938574,-244.344866049735,-312.795604756497
-194.728714195753,-249.106345539316,-318.000195754797
-199.353607974443,-253.97479869303,-323.460080837617
-204.041801747749,-258.72660270008,-329.011382750471
-208.87393628528,-263.395039943489,-334.542787061491
-213.412119934614,-268.115187851561,-340.082823915377
-218.080468547162,-273.107807194517,-345.580683225442
-222.501713877229,-278.12707186028,-351.344606710271
-227.051899340266,-283.206048677711,-357.404916173694
-231.936132209193,-288.383596248105,-363.301236538626
-236.686045910618,-293.484586767382,-369.249267320407
-241.526415535815,-298.78015672885,-375.124427806869
-246.523685781273,-304.045575462149,-380.991328903418
-251.155574159366,-309.477892467221,-387.124774593927
-255.606343298091,-314.932290154554,-393.17177526912
-260.474473079717,-320.272544642614,-399.466783514505
-265.365858332456,-325.747363383508,-405.565516204445
-270.212963797194,-331.168783536872,-411.640437735845
-272.165458375563,-335.671007590045,-417.716735025019
-272.484004814092,-339.114612282156,-423.455291083363
-272.977824560461,-342.086558837908,-429.019251914794
-273.359041262276,-345.226988096328,-434.429746650102
-274.653776683518,-348.087444213231,-439.860040775964
-276.32144154671,-351.098053234221,-445.316080992833
-278.74359269923,-354.088259058742,-450.250345373337
-281.641336990207,-357.534227528575,-454.877138630056
-284.497233286211,-361.038210787942,-459.82671597537
-287.569363192139,-364.675512115393,-464.744198975962
-290.858931374429,-368.45187361676,-469.627960671932
-294.419242775205,-372.584216167193,-474.460710223605
-298.688853819493,-376.816256816112,-479.421351115763
-302.732341254679,-381.264589883222,-484.502630072012
-306.765574936788,-385.920077705509,-489.781228230382
-310.985124852144,-390.603851999574,-494.800737801393
-315.424513825772,-395.480617121664,-499.998553758387
-319.741481725282,-399.984357510621,-505.411676051947
-323.995381462457,-404.801283870459,-510.775578020771
-328.535888313996,-409.864257339522,-516.413824553017
-332.769722972903,-414.861157012791,-522.064587405689
-336.857282202092,-419.803217038037,-527.668954041648
-341.466731613794,-424.839771013993,-533.243872606411
-346.346067656099,-429.854147187561,-538.919181750496
-351.119437621512,-435.145119739666,-544.697627289006
-355.92580596104,-440.478012680328,-550.3704987519
