Hardcore,Midcore,Casual
-103.126524851134,-141.029292909101,-190.92981372925
-104.101905198556,-142.363302677804,-193.222073531212
-106.419557637264,-145.43825234354,-197.27799502008
-110.678809908761,-150.366178210186,-202.856602597055
-115.500181446585,-156.129761780702,-209.190586897743
-121.164573160177,-162.577335121256,-216.036036275756
-127.575592907694,-169.154576045346,-223.429699004791
-133.918002075327,-175.991849932071,-230.950727484401
-135.832295106491,-178.355699561165,-233.461929423983
-138.585816978293,-181.878133546425,-237.083888377175
-143.193485880426,-186.754283001473,-242.764503051823
-148.748957465811,-193.321462788959,-249.519388065671
-154.91441114775,-200.15412227013,-256.81305987799
-161.410788001178,-207.194810192309,-264.51714869757
-168.307881532042,-214.466797563616,-272.344870957395
-174.034876002843,-221.16247306332,-279.391411776009
-180.025275675934,-227.379831316344,-286.587685774843
-186.30460366943,-234.274408654152,-294.0433184198
-192.693037362172,-241.08879560836,-301.508651919047
-199.465511056509,-247.924915049641,-309.003964359767
-201.408366931161,-252.607713540051,-315.935616975204
-201.062053255819,-255.824650914988,-322.592185807436
-201.59374265248,-258.465463684187,-328.672469417499
-203.712896352251,-261.561451397706,-334.553436685341
-205.614285162872,-265.091734590782,-340.269079222649
-208.383362495155,-269.568763843763,-346.063318084449
-212.074316629531,-273.937294042859,-352.121297018392
-215.60261785379,-278.580027512706,-358.225698893448
-219.631147227252,-284.024150589534,-364.449938550478
-223.620294427595,-289.157330338813,-370.759549835645
-227.735377899232,-294.668101883215,-377.105507564054
-232.639215086117,-300.137458520255,-383.508857359503
-237.969342059997,-305.504151113852,-389.963742301841
-243.062590666545,-311.140896025094,-396.235139623638
-248.503096844179,-316.796821469735,-402.898765357257
-253.935779289493,-322.910873469261,-409.694617697882
-259.671978606649,-328.877534421852,-416.427926388604
-265.301466653477,-335.006757353992,-423.211754995504
-270.764387152629,-340.874202306309,-430.213727010641
-276.658910371292,-347.173665967386,-437.303295140676
-282.8051280814,-353.351540142928,-444.295388084696
-288.348022000747,-359.907521591098,-451.591489565345
-293.63527372595,-366.456583067364,-458.868924787701
-299.17134296846,-372.62155730317,-466.305937361777
-305.030543731864,-379.191907926217,-473.635059448827
-310.618598632581,-385.88250488467,-481.080620266256
-316.572492901732,-392.96148443968,-488.560549499751
-322.653197554329,-399.743671871323,-496.088153982128
-328.708874218225,-406.263161024813,-503.601786272304
-335.134027560518,-413.264431663908,-511.336357236089
-341.393620331863,-419.924292001741,-518.977247257627
-344.176699841638,-425.586199132267,-526.420634027851
-344.197919798641,-429.855861413366,-533.645591967181
-344.574923177553,-433.331335008181,-540.624665497467
-345.972466871471,-436.391318845754,-547.450244476082
-348.428057714486,-439.972129586591,-553.899833927331
-351.602827341918,-443.98923846853,-560.29250223229
-354.481739015329,-448.022282914267,-566.805132463557
-357.825681498264,-452.248465920759,-573.18004016202
-362.136816331391,-456.739239316483,-579.568296443365
-365.848286549441,-461.307341227803,-585.86339212034
-370.011961769052,-466.418320011937,-592.020576513793
-374.479101511405,-472.090693948976,-598.366630299294
-379.395746997112,-477.763355415745,-604.715381315322
-384.365522238076,-483.991960279173,-611.216373687399
-388.759029353472,-489.551501513059,-617.734453689147
-394.37488543274,-495.314825070983,-624.322265594631
-399.782653744823,-501.22633657102,-630.938985145433
-405.099761666087,-507.417890130718,-637.571232284212
-411.087532330922,-513.767336060982,-644.3751823177
-416.993708341061,-520.139654708688,-651.302513355727
-422.515937745393,-526.641593633951,-658.2972127918
-428.406264082962,-533.171035980786,-665.190136625033
-434.196170019849,-540.117984184941,-672.180180712546
-440.116355073361,-546.898281458566,-679.221063803174
-446.018113670525,-553.36559447373,-686.195001955949
-451.682502867871,-559.687943006952,-693.419832150925
