Achiever,Killer,Socializer,Explorer
-104.366089425721,-60.7199954421224,-55.4952645319321,-75.5810538344028
-109.032208178999,-63.7170077474416,-57.9457544662948,-79.1548560014755
-107.983091048089,-62.9690265178018,-57.377832318872,-78.7536694330293
-108.792574074599,-64.0299815395245,-58.5561162450445,-79.7999985209193
-112.632515627931,-66.6419052176252,-60.3864765071553,-83.0251505444676
-118.194202279494,-69.7721717364632,-63.5337725029427,-87.4406841965485
-125.179012968555,-73.4387770749313,-66.7383854417859,-92.3817056531408
-132.303277417329,-77.1204463598892,-69.7453021653016,-97.6906661402207
-139.873580214282,-81.630570797163,-73.2572192604128,-103.126524851134
-141.341966020819,-81.9517233658721,-74.3481825992484,-104.101905198556
-144.475134958384,-83.8647138345174,-76.0391795817487,-106.419557637264
-149.77754918324,-87.325434532249,-78.9161102274527,-110.678809908761
-156.799921785074,-91.6839952378227,-82.5017380621278,-115.500181446585
-164.621101484772,-96.2073952622553,-86.4349734894131,-121.164573160177
-172.756180691582,-100.723854844575,-90.6928945002124,-127.575592907694
-181.242946325073,-105.44614070501,-95.2581690323027,-133.918002075327
-183.618609143967,-106.891806709387,-96.4214215326518,-135.832295106491
-187.017548779654,-108.916467237842,-98.6385963133979,-138.585816978293
-193.167831266498,-112.767732344667,-101.758031883189,-143.193485880426
-200.614499515154,-116.976067830577,-105.744862401941,-148.748957465811
-208.797951256421,-121.837888352927,-110.019790877891,-154.91441114775
-217.176559810641,-126.659224036336,-114.025416224642,-161.410788001178
-225.852680537106,-131.916997142658,-118.86973805087,-168.307881532042
-233.600514913261,-136.631629824391,-122.888881470756,-174.034876002843
-242.119811522682,-141.29878213021,-126.989285004025,-180.025275675934
-249.964847309676,-146.230552076153,-130.771931692204,-186.30460366943
-258.259031312572,-150.954346148162,-134.954747205001,-192.693037362172
-266.42256232258,-156.299506965249,-139.23261283394,-199.465511056509
-267.832374473466,-157.398496149835,-140.528906663262,-201.408366931161
-268.384545561843,-156.757093039624,-140.966410403527,-201.062053255819
-269.128113320293,-156.716899294288,-141.584014788905,-201.59374265248
-271.42330014269,-157.587284740405,-143.081957373789,-203.712896352251
-274.719705582016,-159.780066480399,-144.395604174618,-205.614285162872
-278.504806819152,-162.015474747869,-146.398248243357,-208.383362495155
-283.525941890814,-164.668353050311,-148.97816150036,-212.074316629531
-288.957288023506,-167.746449218492,-151.809771975114,-215.60261785379
-294.518853183176,-171.094738102317,-155.157536495321,-219.631147227252
-300.460871750748,-174.611374837339,-157.719402703123,-223.620294427595
-306.220194795503,-178.474992121073,-160.434489298973,-227.735377899232
-312.176405699305,-181.899805074371,-163.365784985487,-232.639215086117
-318.951650122878,-185.859110720479,-166.714855048466,-237.969342059997
-325.56178362784,-190.010090938574,-170.260823693071,-243.062590666545
-332.51105726317,-194.728714195753,-173.885184151904,-248.503096844179
-339.741136034285,-199.353607974443,-177.457068676123,-253.935779289493
-347.131388242949,-204.041801747749,-181.16011297924,-259.671978606649
-354.350533250892,-208.87393628528,-184.325296018579,-265.301466653477
-361.706426363852,-213.412119934614,-187.974250622381,-270.764387152629
-369.239261095231,-218.080468547162,-192.025413344369,-276.658910371292
-377.12292490078,-222.501713877229,-195.867201979316,-282.8051280814
-385.303264825263,-227.051899340266,-200.319315324208,-288.348022000747
-393.106231272063,-231.936132209193,-204.540746346905,-293.63527372595
-401.131372364963,-236.686045910618,-209.233133127668,-299.17134296846
-409.194830883449,-241.526415535815,-213.21059020883,-305.030543731864
-417.710032671436,-246.523685781273,-217.50608108833,-310.618598632581
-425.636816417408,-251.155574159366,-221.623017698986,-316.572492901732
